batch_id,lot_id,ingredient_id
BATCH-0110,LOT-0008,ING-04
BATCH-0110,LOT-0017,ING-10
BATCH-0111,LOT-0014,ING-08
BATCH-0111,LOT-0021,ING-11
BATCH-0112,LOT-0009,ING-05
BATCH-0112,LOT-0019,ING-11
BATCH-0113,LOT-0004,ING-03
BATCH-0113,LOT-0016,ING-09
BATCH-0114,LOT-0001,ING-01
BATCH-0114,LOT-0002,ING-02
BATCH-0114,LOT-0015,ING-09
BATCH-0115,LOT-0011,ING-07
BATCH-0115,LOT-0023,ING-12
BATCH-0116,LOT-0001,ING-01
BATCH-0116,LOT-0003,ING-02
BATCH-0116,LOT-0015,ING-09
BATCH-0117,LOT-0006,ING-03
BATCH-0117,LOT-0016,ING-09
BATCH-0118,LOT-0006,ING-03
BATCH-0118,LOT-0015,ING-09
BATCH-0119,LOT-0008,ING-04
BATCH-0119,LOT-0017,ING-10
BATCH-0120,LOT-0005,ING-03
BATCH-0120,LOT-0015,ING-09
