batch_id,formula_id,site_id,operator_id,equipment_id,compounded_date,expiry_date,quantity_units,status
BATCH-0046,FORM-07,SITE-03,OP-05,EQ-05,2025-02-11,2025-08-03,128,Released
BATCH-0047,FORM-06,SITE-02,OP-03,EQ-03,2025-04-06,2025-10-28,115,Released
BATCH-0048,FORM-02,SITE-03,OP-05,EQ-05,2025-06-01,2026-03-03,99,Released
BATCH-0049,FORM-06,SITE-03,OP-05,EQ-05,2025-02-27,2025-09-13,40,Released
BATCH-0050,FORM-03,SITE-03,OP-05,EQ-05,2025-03-20,2025-09-30,68,Recalled
BATCH-0051,FORM-04,SITE-01,OP-01,EQ-02,2025-04-18,2026-01-19,153,Released
BATCH-0052,FORM-04,SITE-02,OP-04,EQ-04,2025-03-11,2025-08-03,136,Released
BATCH-0053,FORM-04,SITE-03,OP-05,EQ-05,2025-04-10,2025-08-18,159,Released
BATCH-0054,FORM-07,SITE-03,OP-05,EQ-05,2025-04-20,2025-08-07,30,Released
BATCH-0055,FORM-01,SITE-03,OP-05,EQ-05,2025-05-13,2026-04-01,101,Released
BATCH-0056,FORM-02,SITE-01,OP-01,EQ-02,2025-02-27,2025-08-22,24,Released
BATCH-0057,FORM-01,SITE-03,OP-05,EQ-05,2025-04-30,2025-10-15,102,Released
BATCH-0058,FORM-06,SITE-02,OP-03,EQ-04,2025-04-06,2026-03-25,30,Released
BATCH-0059,FORM-04,SITE-01,OP-01,EQ-02,2025-03-24,2025-08-19,155,Released
BATCH-0060,FORM-01,SITE-02,OP-03,EQ-04,2025-02-12,2026-02-08,81,Released
BATCH-0061,FORM-07,SITE-03,OP-05,EQ-05,2025-05-25,2025-09-05,153,Released
BATCH-0062,FORM-02,SITE-03,OP-05,EQ-05,2025-03-31,2025-08-06,137,Released
BATCH-0063,FORM-04,SITE-01,OP-01,EQ-02,2025-05-17,2025-08-17,87,Released
BATCH-0064,FORM-07,SITE-01,OP-02,EQ-02,2025-02-25,2025-10-03,75,Released
BATCH-0065,FORM-06,SITE-03,OP-05,EQ-05,2025-06-24,2025-10-10,139,Released
BATCH-0066,FORM-07,SITE-03,OP-05,EQ-05,2025-07-20,2026-06-21,43,Released
BATCH-0067,FORM-02,SITE-03,OP-05,EQ-05,2025-03-28,2025-06-29,140,Released
BATCH-0068,FORM-03,SITE-01,OP-01,EQ-01,2025-06-10,2025-10-05,78,Recalled
BATCH-0069,FORM-05,SITE-02,OP-04,EQ-03,2025-04-07,2025-07-22,118,Released
BATCH-0070,FORM-05,SITE-01,OP-02,EQ-01,2025-03-19,2025-10-16,71,Released
BATCH-0071,FORM-05,SITE-02,OP-04,EQ-04,2025-07-19,2026-01-11,24,Released
BATCH-0072,FORM-03,SITE-01,OP-01,EQ-01,2025-06-05,2025-11-18,64,Recalled
BATCH-0073,FORM-04,SITE-03,OP-05,EQ-05,2025-02-04,2025-11-15,191,Released
BATCH-0074,FORM-05,SITE-02,OP-04,EQ-03,2025-07-28,2025-11-05,80,Released
BATCH-0075,FORM-01,SITE-02,OP-03,EQ-04,2025-07-06,2026-01-03,107,Released
BATCH-0076,FORM-06,SITE-01,OP-02,EQ-01,2025-04-07,2026-03-04,148,Released
BATCH-0077,FORM-06,SITE-02,OP-03,EQ-03,2025-03-08,2025-06-08,124,Released
BATCH-0078,FORM-03,SITE-01,OP-02,EQ-02,2025-03-14,2025-12-24,133,Recalled
BATCH-0079,FORM-05,SITE-01,OP-01,EQ-01,2025-04-28,2026-03-11,90,Released
BATCH-0080,FORM-04,SITE-02,OP-04,EQ-04,2025-05-29,2026-03-25,63,Released
BATCH-0081,FORM-01,SITE-03,OP-05,EQ-05,2025-03-30,2025-11-25,62,Released
BATCH-0082,FORM-07,SITE-01,OP-01,EQ-02,2025-03-08,2025-11-24,177,Released
BATCH-0083,FORM-05,SITE-02,OP-04,EQ-04,2025-05-03,2026-03-20,150,Released
BATCH-0084,FORM-03,SITE-01,OP-01,EQ-02,2025-03-19,2026-01-23,133,Recalled
BATCH-0085,FORM-04,SITE-03,OP-05,EQ-05,2025-07-10,2026-03-14,125,Released
BATCH-0086,FORM-02,SITE-03,OP-05,EQ-05,2025-05-04,2026-02-17,23,Released
BATCH-0087,FORM-04,SITE-03,OP-05,EQ-05,2025-07-13,2026-04-15,27,Released
BATCH-0088,FORM-01,SITE-01,OP-01,EQ-01,2025-06-09,2026-03-27,151,Released
BATCH-0089,FORM-02,SITE-02,OP-03,EQ-03,2025-03-01,2025-07-28,51,Released
BATCH-0090,FORM-04,SITE-03,OP-05,EQ-05,2025-05-21,2025-12-17,44,Released
BATCH-0091,FORM-01,SITE-02,OP-03,EQ-04,2025-07-14,2026-05-11,161,Released
BATCH-0092,FORM-07,SITE-02,OP-04,EQ-03,2025-03-07,2025-07-19,58,Released
BATCH-0093,FORM-04,SITE-02,OP-03,EQ-04,2025-03-09,2025-07-23,36,Released
BATCH-0094,FORM-04,SITE-02,OP-03,EQ-04,2025-06-05,2026-03-01,66,Released
BATCH-0095,FORM-04,SITE-03,OP-05,EQ-05,2025-06-23,2026-06-16,109,Released
BATCH-0096,FORM-02,SITE-01,OP-01,EQ-02,2025-04-11,2026-02-17,113,Released
BATCH-0097,FORM-07,SITE-01,OP-02,EQ-01,2025-07-01,2026-02-11,177,Released
BATCH-0098,FORM-07,SITE-03,OP-05,EQ-05,2025-07-08,2026-07-01,127,Released
BATCH-0099,FORM-03,SITE-01,OP-02,EQ-02,2025-04-19,2026-02-14,73,Recalled
BATCH-0100,FORM-06,SITE-03,OP-05,EQ-05,2025-05-06,2026-04-25,99,Released
BATCH-0101,FORM-01,SITE-03,OP-05,EQ-05,2025-03-26,2025-12-13,123,Released
BATCH-0102,FORM-06,SITE-02,OP-04,EQ-04,2025-07-26,2025-12-17,194,Released
BATCH-0103,FORM-04,SITE-03,OP-05,EQ-05,2025-05-06,2025-08-11,84,Released
BATCH-0104,FORM-07,SITE-02,OP-03,EQ-04,2025-05-20,2026-04-13,25,Released
BATCH-0105,FORM-07,SITE-03,OP-05,EQ-05,2025-03-05,2025-11-19,118,Released
BATCH-0106,FORM-03,SITE-03,OP-05,EQ-05,2025-03-28,2025-10-15,78,Released
BATCH-0107,FORM-02,SITE-01,OP-02,EQ-02,2025-03-02,2026-03-01,94,Released
BATCH-0108,FORM-02,SITE-01,OP-02,EQ-01,2025-03-05,2025-07-07,170,Released
BATCH-0109,FORM-07,SITE-03,OP-05,EQ-05,2025-03-11,2026-01-20,124,Released
BATCH-0110,FORM-03,SITE-03,OP-05,EQ-05,2025-02-17,2025-12-16,88,Released
BATCH-0111,FORM-06,SITE-03,OP-05,EQ-05,2025-02-16,2025-06-21,125,Released
BATCH-0112,FORM-07,SITE-02,OP-04,EQ-03,2025-02-04,2025-09-29,130,Released
BATCH-0113,FORM-02,SITE-02,OP-04,EQ-03,2025-03-28,2025-12-07,27,Released
BATCH-0114,FORM-01,SITE-01,OP-02,EQ-02,2025-02-23,2025-11-24,113,Released
BATCH-0115,FORM-05,SITE-03,OP-05,EQ-05,2025-06-25,2026-01-13,85,Released
BATCH-0116,FORM-01,SITE-02,OP-03,EQ-03,2025-07-30,2026-02-20,63,Released
BATCH-0117,FORM-02,SITE-01,OP-02,EQ-01,2025-05-14,2025-12-18,112,Released
BATCH-0118,FORM-02,SITE-01,OP-01,EQ-02,2025-06-05,2025-10-06,179,Released
BATCH-0119,FORM-03,SITE-03,OP-05,EQ-05,2025-04-02,2025-11-19,98,Released
BATCH-0120,FORM-02,SITE-02,OP-04,EQ-04,2025-03-02,2025-09-14,86,Released
